,precision,recall,f1-score,support
Healthy,0.9565217391304348,0.9383886255924171,0.9473684210526315,211.0
At Risk,0.9598145285935085,0.9764150943396226,0.9680436477007015,636.0
Unhealthy,0.9548872180451128,0.9071428571428571,0.9304029304029304,140.0
accuracy,0.9584599797365755,0.9584599797365755,0.9584599797365755,0.9584599797365755
macro avg,0.957074495256352,0.9406488590249656,0.9486049997187544,987.0
weighted avg,0.9584116896335451,0.9584599797365755,0.9582846069262023,987.0
