,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.9297208786010742,0.09873344304995446,0.026455450057983398,0.005734470324309205,,sqrt,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.9455006337135615,0.9607097591888466,0.9518377693282636,0.9518377693282636,0.9619289340101523,0.9543629731138175,0.006145239226092542,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,1.6886362552642822,0.18528610275664018,0.0484102725982666,0.010719901220088332,,sqrt,2,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.9467680608365019,0.9607097591888466,0.9480354879594424,0.9518377693282636,0.9657360406091371,0.9546174235844382,0.007394606785527077,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,0.9124441623687745,0.05384470281612589,0.026205778121948242,0.004651497244757653,,sqrt,5,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.9455006337135615,0.9632446134347274,0.9505703422053232,0.9531051964512041,0.9657360406091371,0.9556313652827907,0.007677150728726861,5,0.9977812995245642,0.9987321711568938,0.9993660855784469,0.9990491283676703,0.9993662864385298,0.998858994213221,0.0005879027097758256
3,1.436296319961548,0.2116054971660387,0.04698224067687988,0.009639663315759802,,sqrt,5,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.9455006337135615,0.9594423320659062,0.9493029150823827,0.9581749049429658,0.9631979695431472,0.9551237510695927,0.00662780815922361,7,0.9987321711568938,0.9990491283676703,0.9990491283676703,0.9990491283676703,0.9993662864385298,0.9990491685396871,0.0002005248649447433
4,1.0548028469085693,0.03943530329080639,0.018279314041137695,0.0006590063421270878,,,2,100,"{'max_depth': None, 'max_features': None, 'min_samples_split': 2, 'n_estimators': 100}",0.9480354879594424,0.9619771863117871,0.9455006337135615,0.9556400506970849,0.9619289340101523,0.9546164585384057,0.006857226666582637,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,2.3902603149414063,0.3976622575730498,0.034761905670166016,0.009013857788962104,,,2,200,"{'max_depth': None, 'max_features': None, 'min_samples_split': 2, 'n_estimators': 200}",0.9467680608365019,0.9607097591888466,0.9467680608365019,0.9556400506970849,0.9644670050761421,0.9548705873270155,0.0071844430067275365,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,1.097520112991333,0.16323715848131407,0.019417953491210938,0.0017558153847106813,,,5,100,"{'max_depth': None, 'max_features': None, 'min_samples_split': 5, 'n_estimators': 100}",0.9480354879594424,0.9619771863117871,0.9455006337135615,0.9594423320659062,0.9657360406091371,0.9561383361319669,0.007949105019239566,1,0.9974643423137877,0.9974643423137877,0.9980982567353407,0.9961965134706815,0.9977820025348543,0.9974010914736903,0.0006465511799460027
7,2.2485721588134764,0.3505044156848176,0.050004768371582034,0.020327454898961334,,,5,200,"{'max_depth': None, 'max_features': None, 'min_samples_split': 5, 'n_estimators': 200}",0.9467680608365019,0.9607097591888466,0.9480354879594424,0.9569074778200254,0.9670050761421319,0.9558851723893896,0.007651317198584958,3,0.9974643423137877,0.9974643423137877,0.9987321711568938,0.9974643423137877,0.9974651457541192,0.9977180687704752,0.0005070512886902548
8,0.6541801929473877,0.09662301569853049,0.023116540908813477,0.0020492375839342696,20,sqrt,2,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.9455006337135615,0.9607097591888466,0.9518377693282636,0.9518377693282636,0.9619289340101523,0.9543629731138175,0.006145239226092542,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,1.7173667907714845,0.16182421481103829,0.047740840911865236,0.005553363498756387,20,sqrt,2,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.9467680608365019,0.9607097591888466,0.9480354879594424,0.9518377693282636,0.9657360406091371,0.9546174235844382,0.007394606785527077,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,0.9069517135620118,0.08618327056727308,0.028022956848144532,0.007233263762323115,20,sqrt,5,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.9455006337135615,0.9632446134347274,0.9505703422053232,0.9531051964512041,0.9657360406091371,0.9556313652827907,0.007677150728726861,5,0.9977812995245642,0.9987321711568938,0.9993660855784469,0.9990491283676703,0.9993662864385298,0.998858994213221,0.0005879027097758256
11,1.6350662231445312,0.2615892096439658,0.04637851715087891,0.010536077864622798,20,sqrt,5,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.9455006337135615,0.9594423320659062,0.9493029150823827,0.9569074778200254,0.9631979695431472,0.9548702656450047,0.006529779044288896,10,0.9987321711568938,0.9990491283676703,0.9990491283676703,0.9990491283676703,0.9993662864385298,0.9990491685396871,0.0002005248649447433
12,1.198472833633423,0.13755037491731947,0.02833137512207031,0.00781698204095304,20,,2,100,"{'max_depth': 20, 'max_features': None, 'min_samples_split': 2, 'n_estimators': 100}",0.9480354879594424,0.9619771863117871,0.9455006337135615,0.9556400506970849,0.9619289340101523,0.9546164585384057,0.006857226666582637,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
13,2.1492103576660155,0.12919460398578564,0.028589916229248048,0.003095224326267702,20,,2,200,"{'max_depth': 20, 'max_features': None, 'min_samples_split': 2, 'n_estimators': 200}",0.9467680608365019,0.9607097591888466,0.9467680608365019,0.9556400506970849,0.9644670050761421,0.9548705873270155,0.0071844430067275365,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
14,1.1570188999176025,0.03925339678455456,0.019290065765380858,0.0023055317856750224,20,,5,100,"{'max_depth': 20, 'max_features': None, 'min_samples_split': 5, 'n_estimators': 100}",0.9480354879594424,0.9619771863117871,0.9455006337135615,0.9594423320659062,0.9657360406091371,0.9561383361319669,0.007949105019239566,1,0.9974643423137877,0.9974643423137877,0.9980982567353407,0.9961965134706815,0.9977820025348543,0.9974010914736903,0.0006465511799460027
